Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
snowball,Snowball_Effect,ice,Everytime you deal ice damage deal +1 more ice damage,NO,NO,NO,NO,NO,,,,,,,,,,,
snowballenemy,Snowball_Effect,ice,Everytime you deal ice damage deal +1 more ice damage,NO,NO,NO,YES,NO,status.scriptmodifydamage=~if(dmgtype == \~ice\~){return (dmg + 1);} else return (dmg);~,,,,,,,,,,
itemusetracker,itemusetracker,,text should not appear,NO,NO,NO,YES,NO,self.setvar(~recurringlists~[;][]);,,,,var itemuselist = self.getvar(~recurringlists~); for(eq in self.equipment){ if(eq.name == ~Recurring Winds~){ if(!e.hastag(~cannotreuse~) && e.name != ~Recurring Winds~){ itemuselist.push(e); break; } } } self.setvar(~recurringlists~[;]itemuselist);,,,self.setvar(~recurringlists~[;][]);,,,
manakeep,Keep_Next_Mana,potion,The next time you spend [mana] mana[comma] you will do it for free.,YES,NO,NO,NO,NO,self.setvar(~manakeepcounter~[;]getstatusself(MANA));,if(getstatusself(MANA) > self.getvar(~manakeepcounter~)){ self.setvar(~manakeepcounter~[;]getstatusself(MANA)); },,,if(e.script.indexOf('removestatusself(MANA') > 0){ if(getstatusself(MANA) < self.getvar(~manakeepcounter~)){ inflictself(MANA[;]self.getvar(~manakeepcounter~) - getstatusself(MANA)); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~manakeep\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); } },,,,,,
manaboost,Mana_Boost,potion,Gain [mana]<value> more mana when gain mana this turn.,YES,YES,NO,NO,NO,self.setvar(~manaboostcounter~[;]getstatusself(MANA));,if(getstatusself(MANA) > self.getvar(~manakeepcounter~)){ inflictself(MANA[;]getstatusself(~manaboost~)); self.setvar(~manakeepcounter~[;]getstatusself(MANA)); },,,,,,,,,
manakeep+,Keep_Next_Mana+,potion,The next time you spend [mana] mana[comma] it will increase your mana.,YES,NO,NO,NO,NO,self.setvar(~manakeeppluscounter~[;]getstatusself(MANA)); self.setvar(~whoachill~[;]1),if(getstatusself(MANA) > self.getvar(~manakeeppluscounter~)){ self.setvar(~manakeeppluscounter~[;]getstatusself(MANA)); },,,if(self.getvar(~whoachill~) == 1){ self.setvar(~whoachill~[;]0); [;] } else if(e.script.indexOf('removestatusself(MANA') > 0){ if(getstatusself(MANA) < self.getvar(~manakeeppluscounter~)){ inflictself(MANA[;](self.getvar(~manakeeppluscounter~) - getstatusself(MANA))*2); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~manakeep+\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); self.setvar(~statuschill~[;]0); } } },,,,,,
freetrades,Free_Trades,potion,All mana-using bonuses are free for this turn.,YES,YES,NO,NO,NO,self.setvar(~manakeepcounter~[;]getstatusself(MANA));,if(getstatusself(MANA) > self.getvar(~manakeepcounter~)){ self.setvar(~manakeepcounter~[;]getstatusself(MANA)); },,,if(e.script.indexOf('removestatusself(MANA') > 0){ if(getstatusself(MANA) < self.getvar(~manakeepcounter~)){ inflictself(MANA[;]self.getvar(~manakeepcounter~) - getstatusself(MANA)); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~manakeep\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); } },,,,,,
upgradecast,Upgrade_Cast,confuse,Upgrade the next spell you cast (does not triggers when you cast in upgraded slot.),YES,NO,NO,NO,NO,if(self.varexists(~upgradecastactuator~)) { self.getvar(~upgradecastactuator~).stop(); } for(eq in self.equipment){ eq.setvar(~upgradecast~[;]1); } var s = new elements.Skill(~Against All Odds_old~); s.script=~for(eq in self.equipment){if(!eq.upgraded && self.hasstatus(\~upgradecast\~) && !eq.weakened && eq.getvar(\~upgradecast\~) != 1 && eq.name != \~Next Tome\~){ var eqx = eq.x;var eqy = eq.y; eq.create(eq.name +\~+\~);eq.y = eqy;eq.x = eqx;eq.animate(\~flashandshake\~); sfx(\~upgradeequipment\~); removestatusself(\~upgradecast\~[;] 1);}};~; self.setvar(~upgradecastactuator~[;]new motion.actuators.SimpleActuator(null[;]0.1[;]null)); self.getvar(~upgradecastactuator~)._repeat = -1; self.getvar(~upgradecastactuator~).onRepeat(s.execute[;][self[;]target]); self.getvar(~upgradecastactuator~).move();,,,,,,,self.getvar(~upgradecastactuator~)._repeat = 0; self.resetvar(~upgradecastactuator~); self.resetvar(~upgradecastx~); self.resetvar(~upgradecasty~);,,,
weakencast,Weaken_Cast,weaken,Weaken the next spell you cast this turn,YES,YES,NO,NO,NO,if(self.varexists(~weakencastactuator~)) { self.getvar(~weakencastactuator~).stop(); } for(eq in self.equipment){ eq.setvar(~weakencast~[;]1); } var s = new elements.Skill(~Against All Odds_old~); s.script=~for(eq in self.equipment){if(self.hasstatus(\~weakencast\~) && !eq.weakened && eq.getvar(\~weakencast\~) != 1 && eq.name != \~Next Tome\~){ var eqx = eq.x;var eqy = eq.y;eq.animate(WEAKEN);eq.x = eqx;eq.y = eqy;self.resetvar(\~weakencastx\~);self.resetvar(\~weakencasty\~);removestatusself(\~weakencast\~[;] 1);eq.setvar(\~weakencast\~[;]1);}};~; self.setvar(~weakencastactuator~[;]new motion.actuators.SimpleActuator(null[;]0.1[;]null)); self.getvar(~weakencastactuator~)._repeat = -1; self.getvar(~weakencastactuator~).onRepeat(s.execute[;][self[;]target]); self.getvar(~weakencastactuator~).move();,,,,,,,self.getvar(~weakencastactuator~)._repeat = 0; self.resetvar(~weakencastactuator~); self.resetvar(~weakencastx~); self.resetvar(~weakencasty~);,,,
shockcast,Shock_Cast,shock,Shock the next spell you cast this turn,YES,YES,NO,NO,NO,if(self.varexists(~shockcastactuator~)) { self.getvar(~shockcastactuator~).stop(); } for(eq in self.equipment){ eq.setvar(~shockcast~[;]1); } var s = new elements.Skill(~Against All Odds_old~); s.script=~for(eq in self.equipment){if(self.hasstatus(\~shockcast\~) && !eq.shocked && eq.getvar(\~shockcast\~) != 1 && eq.name != \~Next Tome\~){var eqx = eq.x;var eqy = eq.y;eq.animate(SHOCK);eq.x = eqx;eq.y = eqy;removestatusself(\~shockcast\~[;] 1);eq.setvar(\~shockcast\~[;]1);}};~; self.setvar(~shockcastactuator~[;]new motion.actuators.SimpleActuator(null[;]0.1[;]null)); self.getvar(~shockcastactuator~)._repeat = -1; self.getvar(~shockcastactuator~).onRepeat(s.execute[;][self[;]target]); self.getvar(~shockcastactuator~).move();,,,,,,,self.getvar(~shockcastactuator~)._repeat = 0; self.resetvar(~shockcastactuator~); self.resetvar(~shockcastx~); self.resetvar(~shockcasty~);,,,
bookban1,Can't_Use_First_Spellbook,nospellbook,Reduces by 1 every turn. Unless it's zero[comma]|you can't use the first spellbook.,YES,NO,NO,NO,NO,self.setvar(~spellbook1unavailable~[;]status.value); self.getskillcard().unavailabledetails = [~Disabled (~+self.getvar(~spellbook1unavailable~)+~ turns left)~];,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bookban1\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,,
bookban2,Can't_Use_Second_Spellbook,nospellbook,Reduces by 1 every turn. Unless it's zero[comma]|you can't use the second spellbook.,YES,NO,NO,NO,NO,self.setvar(~spellbook2unavailable~[;]status.value); self.getskillcard().unavailabledetails = [~Disabled (~+self.getvar(~spellbook2unavailable~)+~ turns left)~];,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bookban2\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,,
bookban3,Can't_Use_Third_Spellbook,nospellbook,Reduces by 1 every turn. Unless it's zero[comma]|you can't use the third spellbook.,YES,NO,NO,NO,NO,self.setvar(~spellbook3unavailable~[;]status.value); self.getskillcard().unavailabledetails = [~Disabled (~+self.getvar(~spellbook3unavailable~)+~ turns left)~];,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~bookban3\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.1[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,,
nimblehandsstatus,nimblehandsstatus,,text should not appear,NO,NO,NO,YES,NO,if(self.gamevar.exists(~nimblehandsstolencard~)){ self.getvar(~nimblehandsstolencard~).availablethisturn = false; self.getvar(~nimblehandsstolencard~).unavailabletext = ~Borrowed~; self.getvar(~nimblehandsstolencard~).unavailabledetails = [~Say goodbye to Christmas!~[;]~Signed[;] {enemyname}~]; },,if(self.gamevar.exists(~nimblehandsstolencard~)){ self.getvar(~nimblehandsstolencard~).availablethisturn = false; self.getvar(~nimblehandsstolencard~).unavailabletext = ~Borrowed~; self.getvar(~nimblehandsstolencard~).unavailabledetails = [~Say goodbye to Christmas!~[;]~Signed[;] {enemyname}~]; },,,,if(self.gamevar.exists(~nimblehandsstolencard~)){ self.getvar(~nimblehandsstolencard~).availablenextturn = false; self.getvar(~nimblehandsstolencard~).unavailabletext = ~Borrowed~; self.getvar(~nimblehandsstolencard~).unavailabledetails = [~Say goodbye to Christmas!~[;]~Signed[;] {enemyname}~]; },if(self.hp > 0){ target.equipment.remove(self.getvar(~nimblehandsstolencard~)); },,,
fireweakness,Fire_Weakness,fireweakness,You are weak to [fire] fire.,NO,NO,NO,NO,NO,self.addinnate(~weakfire~);,,,,,,,self.innate.remove(~weakfire~);,,,
restore,Restore,heal,Heal [heal]<value> health at the end of your turn.,YES,YES,NO,NO,NO,,,,,,,if(target.hp > 0){ attackself(-status.value); sfx(~_heal~); },,,,
ncr_lingeringshield,Lingering_shield,shield,Receive [shield]<value> shield every turn.,YES,NO,NO,NO,NO,,,inflictself(SHIELD[;]stat.value);,,,,,,,,
ncr_restraint_all,Restrain_all,weaken,Temporarily weaken a random equipment whenever you use a card|directed at the enemy. Equipment becomes less powerful.,NO,YES,NO,NO,YES,,,,,if(e.castdirection == 1) { inflictself(WEAKEN); self.applyequipmentcurses(); },,,,,,
eternitycannon,Eternity_Cannon,eternitycannon,Do [sword]5 damage at the start of each turn <value> time(s).,YES,NO,NO,NO,NO,,,,for(i in 0...status.value){ attack(5); }; sfxdamage(target[;]5*status.value);,,,,,,,
eternitycannondowngraded,Eternity_Cannon-,eternitycannon,Do [sword]3 damage at the start of each turn <value> time(s).,YES,NO,NO,NO,NO,,,,for(i in 0...status.value){ attack(3); }; sfxdamage(target[;]3*status.value);,,,,,,,
chain,chain,cog,text should not appear,NO,NO,NO,YES,NO,status.scriptoncursetrigger = ~runscript(\~christmasspecial/jester_dochaining\~[;][self])~; status.scriptonenemydodge = status.scriptoncursetrigger;,,,,,,,,,,
mkapowcharge,Magic_Kapow_Charge,fury,Magic Kapow will deal double damage this turn.,NO,YES,NO,NO,NO,,,,,,,,,,,
shielddown,Shield_Down,potion,At the start of your turn[;] lose [shield]<value> shield.,YES,NO,NO,NO,YES,,,,removestatusself(SHIELD[;]status.value);,,,,,,,
rednote,Red_Note,rednote,Do [fire]<value> damage each turn|On even turns burn a dice|When removed deals [fire]5 damage burn all dice,YES,NO,NO,NO,NO,,,,,,,if(turn % 2 == 0){ inflict(FIRE); sfx(~_fire~); } attack(getstatusself(~rednote~)[;] FIRE); sfxdamage(target[;] getstatusself(~rednote~));,,,,attack(5[;] FIRE); sfxdamage(target[;] 5); inflict(FIRE[;] ALL); sfx(~_fire~);
greennote,Green_Note,greennote,Heal [heal]<value> health each turn|When removed cure half poison|and heal [heal]4 health,YES,NO,NO,NO,NO,,,,,,,attackself(-getstatusself(~greennote~)); sfx(~_heal~);,,,,sfx(~_cure~); attackself(-4); removestatusself(POISON[;] getstatusself(POISON) / 2);
reennote,[red]Reen_[green]Note,reennote,[red]On_odd_turns[;]_[red]Do_[fire]<value>_dmg[green]|On_even_turns[;] [green]Heal_[heal]<value>_health[red]|When_removed[;][green]Heal_[heal]4_health [red]Do_[fire]4_dmg,YES,NO,NO,NO,NO,,,,,,,if(turn % 2 == 0){ attackself(-getstatusself(~reennote~)); sfx(~_heal~); } else { attack(getstatusself(~reennote~)[;] FIRE); sfxdamage(target[;] getstatusself(~reennote~)); },,,,sfx(~_cure~); attackself(-4); attack(4[;] FIRE); sfxdamage(target[;] 4);
yellownote,Yellow_Note,yellownote,Shock [shock]<value> items on odd turns|When removed do [shock]3 damage shock all items,YES,NO,NO,NO,NO,,,,,,,if(turn % 2 == 0){ self.setvar(~donothing~[;] 0); } else { inflict(SHOCK[;] getstatusself(~yellownote~)); sfx(~_shock~); },,,,inflict(SHOCK[;] ALL); sfx(~_shock~); attack(3[;] SHOCK); sfxdamage(target[;] 3);
orangenote,Orange_Note,orangenote,Weaken [weaken]<value> items on even turns|When removed Do [weaken]3 damage weaken 4 items,YES,NO,NO,NO,NO,,,,,,,if(turn % 2 == 0){ inflict(WEAKEN[;] getstatusself(~orangenote~)); sfx(~_weaken~); },,,,attack(3[;] WEAKEN); sfxdamage(target[;] 3); inflict(WEAKEN[;] 4); sfx(~_weaken~);
bownote,[yellow]Ra[green]in[blue]bo[purple]w_N[orange]ot[red]e,bownote,[yellow]Mimics [green]a [blue]random [purple]other [orange]notes [red]properties[black]|When [yellow]removed [green]gain [blue]a [purple]random [orange]note's [red]removal [black]effect,YES,NO,NO,NO,NO,,,,,,,var note = rand([~red~[;]~green~[;]~yellow~[;]~orange~[;]~blue~[;]~black~[;]~purple~]); if(note == ~red~){ attack(getstatusself(~bownote~)[;] FIRE); sfxdamage(target[;] getstatusself(~bownote~)); self.textparticle(~[red]Red Note~); } else if(note == ~green~){ attackself(-getstatusself(~bownote~)); sfx(~_heal~); self.textparticle(~[green]Green Note~); } else if(note == ~yellow~){ inflict(SHOCK[;] getstatusself(~bownote~)); sfx(~_shock~); self.textparticle(~[yellow]Yellow Note~); } else if(note == ~orange~){ inflict(WEAKEN[;] getstatusself(~bownote~)); sfx(~_weaken~); self.textparticle(~[orange]Orange Note~); } else if(note == ~black~){ attack(getstatusself(~bownote~)); sfxdamage(target[;] getstatusself(~bownote~)); self.textparticle(~[black]Black Note~); } else if(note == ~blue~){ inflict(ICE); sfx(~_ice~); self.textparticle(~[blue]Blue Note~); } else if(note == ~purple~){ inflict(POISON[;] getstatusself(~bownote~)); sfx(~_poison~); self.textparticle(~[purple]Purple Note~); },,,,var note = rand([~red~[;]~green~[;]~yellow~[;]~orange~[;]~blue~[;]~black~[;]~purple~]); if(note == ~red~){ attack(5[;] FIRE); sfxdamage(target[;] 5); inflict(FIRE[;] ALL); sfx(~_fire~); self.textparticle(~[red]Red Note~); } else if(note == ~green~){ sfx(~_cure~); attackself(-4); self.textparticle(~[green]Green Note~); } else if(note == ~yellow~){ inflict(SHOCK[;] ALL); sfx(~_shock~); attack(3[;] SHOCK); sfxdamage(target[;] 3); self.textparticle(~[yellow]Yellow Note~); } else if(note == ~orange~){ attack(3[;] WEAKEN); sfxdamage(target[;] 3); inflict(WEAKEN[;] 4); sfx(~_weaken~); self.textparticle(~[orange]Orange Note~); } else if(note == ~black~){ attack(6); sfxdamage(target[;] 6); self.textparticle(~[black]Black Note~); } else if(note == ~blue~){ inflict(ICE[;] ALL); sfx(~_ice~); self.textparticle(~[blue]Blue Note~); } else if(note == ~purple~){ inflict(POISON[;] 4); sfx(~_poison~); self.textparticle(~[pruple]Purple Note~); }
bluenote,Blue_Note,bluenote,Freeze a dice each turn|When removed freeze all dice,NO,NO,NO,NO,NO,,,,,,,inflict(ICE); sfx(~_ice~);,,,,inflict(ICE[;] ALL); sfx(~_ice~);
blacknote,Black_Note,blacknote,Do [sword]<value> damage each turn|When removed Do [sword]6 damage,YES,NO,NO,NO,NO,,,,,,,attack(getstatusself(~blacknote~)); sfxdamage(target[;] getstatusself(~blacknote~));,,,,attack(6); sfxdamage(target[;] 6);
purpnote,Purple_Note,purplenote,Inflict [poison]<value> poison on odd turns|When removed inflict [poison]4 poison,YES,NO,NO,NO,NO,,,,,,,inflict(POISON[;] getstatusself(~purpnote~)); sfx(~_poison~);,,,,inflict(POISON[;] 4); sfx(~_poison~);
stash7,Stash_7,dice,Roll an extra 7 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(7); } givedice(dice); status.value = 0;,,,,,,,
stash8,Stash_8,dice,Roll an extra 8 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(8); } givedice(dice); status.value = 0;,,,,,,,
stash9,Stash_9,dice,Roll an extra 9 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(9); } givedice(dice); status.value = 0;,,,,,,,
stash10,Stash_10,dice,Roll an extra 10 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(10); } givedice(dice); status.value = 0;,,,,,,,
stash11,Stash_11,dice,Roll an extra 11 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(11); } givedice(dice); status.value = 0;,,,,,,,
stash12,Stash_12,dice,Roll an extra 12 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(12); } givedice(dice); status.value = 0;,,,,,,,
stash13,Stash_13,dice,Roll an extra 13 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(13); } givedice(dice);  status.value = 0;,,,,,,,
stash14,Stash_14,dice,Roll an extra 14 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(14); } givedice(dice);  status.value = 0;,,,,,,,
stash15,Stash_15,dice,Roll an extra 15 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(15); } givedice(dice);  status.value = 0;,,,,,,,
stash16,Stash_16,dice,Roll an extra 16 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(16); } givedice(dice);  status.value = 0;,,,,,,,
stash17,Stash_17,dice,Roll an extra 17 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(17); } givedice(dice);  status.value = 0;,,,,,,,
stash18,Stash_18,dice,Roll an extra 18 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(18); } givedice(dice);  status.value = 0;,,,,,,,
stash19,Stash_19,dice,Roll an extra 19 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(19); } givedice(dice);  status.value = 0;,,,,,,,
stash20,Stash_20,dice,Roll an extra 20 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(20); } givedice(dice);  status.value = 0;,,,,,,,
stash21,Stash_21,dice,Roll an extra 21 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(21); } givedice(dice);  status.value = 0;,,,,,,,
stash22,Stash_22,dice,Roll an extra 22 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(22); } givedice(dice);  status.value = 0;,,,,,,,
stash23,Stash_23,dice,Roll an extra 23 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(23); } givedice(dice);  status.value = 0;,,,,,,,
stash24,Stash_24,dice,Roll an extra 24 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(24); } givedice(dice);  status.value = 0;,,,,,,,
stash25,Stash_25,dice,Roll an extra 25 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(25); } givedice(dice);  status.value = 0;,,,,,,,
stash26,Stash_26,dice,Roll an extra 26 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(26); } givedice(dice);  status.value = 0;,,,,,,,
stash27,Stash_27,dice,Roll an extra 27 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(27); } givedice(dice);  status.value = 0;,,,,,,,
stash28,Stash_28,dice,Roll an extra 28 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(28); } givedice(dice);  status.value = 0;,,,,,,,
stash29,Stash_29,dice,Roll an extra 29 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(29); } givedice(dice);  status.value = 0;,,,,,,,
stash30,Stash_30,dice,Roll an extra 30 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(30); } givedice(dice);  status.value = 0;,,,,,,,
stash31,Stash_31,dice,Roll an extra 31 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(31); } givedice(dice);  status.value = 0;,,,,,,,
stash32,Stash_32,dice,Roll an extra 32 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(32); } givedice(dice);  status.value = 0;,,,,,,,
stash33,Stash_33,dice,Roll an extra 33 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(33); } givedice(dice);  status.value = 0;,,,,,,,
stash34,Stash_34,dice,Roll an extra 34 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(34); } givedice(dice);  status.value = 0;,,,,,,,
stash35,Stash_35,dice,Roll an extra 35 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(35); } givedice(dice);  status.value = 0;,,,,,,,
stash36,Stash_36,dice,Roll an extra 36 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(36); } givedice(dice);  status.value = 0;,,,,,,,
stash37,Stash_37,dice,Roll an extra 37 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(37); } givedice(dice);  status.value = 0;,,,,,,,
stash38,Stash_38,dice,Roll an extra 38 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(38); } givedice(dice);  status.value = 0;,,,,,,,
stash39,Stash_39,dice,Roll an extra 39 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(39); } givedice(dice);  status.value = 0;,,,,,,,
stash40,Stash_40,dice,Roll an extra 40 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(40); } givedice(dice);  status.value = 0;,,,,,,,
stash41,Stash_41,dice,Roll an extra 41 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(41); } givedice(dice);  status.value = 0;,,,,,,,
stash42,Stash_42,dice,Roll an extra 42 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(42); } givedice(dice);  status.value = 0;,,,,,,,
stash43,Stash_43,dice,Roll an extra 43 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(43); } givedice(dice);  status.value = 0;,,,,,,,
stash44,Stash_44,dice,Roll an extra 44 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(44); } givedice(dice);  status.value = 0;,,,,,,,
stash45,Stash_45,dice,Roll an extra 45 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(45); } givedice(dice);  status.value = 0;,,,,,,,
stash46,Stash_46,dice,Roll an extra 46 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(46); } givedice(dice);  status.value = 0;,,,,,,,
stash47,Stash_47,dice,Roll an extra 47 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(47); } givedice(dice);  status.value = 0;,,,,,,,
stash48,Stash_48,dice,Roll an extra 48 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(48); } givedice(dice);  status.value = 0;,,,,,,,
stash49,Stash_49,dice,Roll an extra 49 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(49); } givedice(dice);  status.value = 0;,,,,,,,
stash50,Stash_50,dice,Roll an extra 50 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(50); } givedice(dice);  status.value = 0;,,,,,,,
stash0,Stash_0,dice,Roll an extra 0 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(0); } givedice(dice);  status.value = 0;,,,,,,,
stash-1,Stash_m1,dice,Roll an extra -1 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-1); } givedice(dice); status.value = 0;,,,,,,,
stash-2,Stash_m2,dice,Roll an extra -2 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-2); } givedice(dice); status.value = 0;,,,,,,,
stash-3,Stash_m3,dice,Roll an extra -3 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-3); } givedice(dice); status.value = 0;,,,,,,,
stash-4,Stash_m4,dice,Roll an extra -4 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-4); } givedice(dice); status.value = 0;,,,,,,,
stash-5,Stash_m5,dice,Roll an extra -5 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-5); } givedice(dice); status.value = 0;,,,,,,,
stash-6,Stash_m6,dice,Roll an extra -6 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-6); } givedice(dice); status.value = 0;,,,,,,,
stash-7,Stash_m7,dice,Roll an extra -7 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-7); } givedice(dice);  status.value = 0;,,,,,,,
stash-8,Stash_m8,dice,Roll an extra -8 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-8); } givedice(dice);  status.value = 0;,,,,,,,
stash-9,Stash_m9,dice,Roll an extra -9 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-9); } givedice(dice);  status.value = 0;,,,,,,,
stash-10,Stash_m10,dice,Roll an extra -10 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-10); } givedice(dice);  status.value = 0;,,,,,,,
stash-11,Stash_m11,dice,Roll an extra -11 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-11); } givedice(dice);  status.value = 0;,,,,,,,
stash-12,Stash_m12,dice,Roll an extra -12 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-12); } givedice(dice);  status.value = 0;,,,,,,,
stash-13,Stash_m13,dice,Roll an extra -13 next turn.,YES,NO,NO,YES,NO,,,,var dice = []; for (i in 0...status.value) { dice.push(-13); } givedice(dice);  status.value = 0;,,,,,,,
